Username,Repository Name,Stars,Repository URL
supabase,supabase,104k,https://github.com/supabase/supabase
netdata,netdata,79.2k,https://github.com/netdata/netdata
redis,redis,74.9k,https://github.com/redis/redis
Asabeneh,30-Days-Of-Python,65.2k,https://github.com/Asabeneh/30-Days-Of-Python
meilisearch,meilisearch,58.1k,https://github.com/meilisearch/meilisearch
etcd-io,etcd,51.8k,https://github.com/etcd-io/etcd
dbeaver,dbeaver,50.6k,https://github.com/dbeaver/dbeaver
ClickHouse,ClickHouse,48k,https://github.com/ClickHouse/ClickHouse
metabase,metabase,47.7k,https://github.com/metabase/metabase
prisma,prisma,46.3k,https://github.com/prisma/prisma
LeCoupa,awesome-cheatsheets,46k,https://github.com/LeCoupa/awesome-cheatsheets
pingcap,tidb,40.2k,https://github.com/pingcap/tidb
QuivrHQ,quivr,39.2k,https://github.com/QuivrHQ/quivr
duckdb,duckdb,38.8k,https://github.com/duckdb/duckdb
huihut,interview,38k,https://github.com/huihut/interview
sqlmapproject,sqlmap,37.7k,https://github.com/sqlmapproject/sqlmap
typeorm,typeorm,36.5k,https://github.com/typeorm/typeorm
SheetJS,sheetjs,36.3k,https://github.com/SheetJS/sheetjs
directus,directus,36k,https://github.com/directus/directus
surrealdb,surrealdb,32.4k,https://github.com/surrealdb/surrealdb
