Username,Repository Name,Stars,Repository URL
freeCodeCamp,freeCodeCamp,448k,https://github.com/freeCodeCamp/freeCodeCamp
react,react,246k,https://github.com/react/react
vercel,next.js,140k,https://github.com/vercel/next.js
react,react-native,126k,https://github.com/react/react-native
justjavac,free-programming-books-zh_CN,117k,https://github.com/justjavac/free-programming-books-zh_CN
shadcn-ui,ui,117k,https://github.com/shadcn-ui/ui
react,create-react-app,103k,https://github.com/react/create-react-app
mui,material-ui,98.4k,https://github.com/mui/material-ui
ant-design,ant-design,98.4k,https://github.com/ant-design/ant-design
oven-sh,bun,93.3k,https://github.com/oven-sh/bun
nextlevelbuilder,ui-ux-pro-max-skill,92.5k,https://github.com/nextlevelbuilder/ui-ux-pro-max-skill
storybookjs,storybook,90.4k,https://github.com/storybookjs/storybook
ChatGPTNextWeb,NextChat,88.3k,https://github.com/ChatGPTNextWeb/NextChat
ruvnet,RuView,74.2k,https://github.com/ruvnet/RuView
enaqx,awesome-react,73.7k,https://github.com/enaqx/awesome-react
apache,superset,73.3k,https://github.com/apache/superset
leonardomso,33-js-concepts,66.5k,https://github.com/leonardomso/33-js-concepts
facebook,docusaurus,65.2k,https://github.com/facebook/docusaurus
usememos,memos,60.8k,https://github.com/usememos/memos
pmndrs,zustand,58.3k,https://github.com/pmndrs/zustand
