Username,Repository Name,Stars,Repository URL
n8n-io,n8n,193k,https://github.com/n8n-io/n8n
microsoft,vscode,186k,https://github.com/microsoft/vscode
f,prompts.chat,164k,https://github.com/f/prompts.chat
langchain-ai,langchain,139k,https://github.com/langchain-ai/langchain
microsoft,TypeScript,109k,https://github.com/microsoft/TypeScript
denoland,deno,107k,https://github.com/denoland/deno
immich-app,immich,104k,https://github.com/immich-app/immich
farion1231,cc-switch,103k,https://github.com/farion1231/cc-switch
angular,angular,100k,https://github.com/angular/angular
ant-design,ant-design,98.4k,https://github.com/ant-design/ant-design
oven-sh,bun,93.3k,https://github.com/oven-sh/bun
storybookjs,storybook,90.4k,https://github.com/storybookjs/storybook
mermaid-js,mermaid,88.7k,https://github.com/mermaid-js/mermaid
nestjs,nest,75.9k,https://github.com/nestjs/nest
ruvnet,RuView,74.2k,https://github.com/ruvnet/RuView
unionlabs,union,74k,https://github.com/unionlabs/union
enaqx,awesome-react,73.7k,https://github.com/enaqx/awesome-react
strapi,strapi,72.4k,https://github.com/strapi/strapi
bytedance,deer-flow,71.3k,https://github.com/bytedance/deer-flow
code-yeongyu,oh-my-openagent,62.5k,https://github.com/code-yeongyu/oh-my-openagent
