Username,Repository Name,Stars,Repository URL
sindresorhus,awesome,476k,https://github.com/sindresorhus/awesome
vinta,awesome-python,303k,https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,300k,https://github.com/awesome-selfhosted/awesome-selfhosted
trimstray,the-book-of-secret-knowledge,229k,https://github.com/trimstray/the-book-of-secret-knowledge
avelino,awesome-go,176k,https://github.com/avelino/awesome-go
521xueweihan,HelloGitHub,162k,https://github.com/521xueweihan/HelloGitHub
Hack-with-Github,Awesome-Hacking,115k,https://github.com/Hack-with-Github/Awesome-Hacking
papers-we-love,papers-we-love,107k,https://github.com/papers-we-love/papers-we-love
jaywcjlove,awesome-mac,106k,https://github.com/jaywcjlove/awesome-mac
MunGell,awesome-for-beginners,86.6k,https://github.com/MunGell/awesome-for-beginners
DopplerHQ,awesome-interview-questions,83.1k,https://github.com/DopplerHQ/awesome-interview-questions
ruvnet,RuView,74.2k,https://github.com/ruvnet/RuView
enaqx,awesome-react,73.7k,https://github.com/enaqx/awesome-react
fffaraz,awesome-cpp,71.8k,https://github.com/fffaraz/awesome-cpp
binhnguyennus,awesome-scalability,71.8k,https://github.com/binhnguyennus/awesome-scalability
prakhar1989,awesome-courses,69.1k,https://github.com/prakhar1989/awesome-courses
sindresorhus,awesome-nodejs,66k,https://github.com/sindresorhus/awesome-nodejs
Solido,awesome-flutter,60.3k,https://github.com/Solido/awesome-flutter
rust-unofficial,awesome-rust,57.9k,https://github.com/rust-unofficial/awesome-rust
tiimgreen,github-cheat-sheet,57.4k,https://github.com/tiimgreen/github-cheat-sheet
